trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
940,False,"{'a': 0.5, 'e': 0.05935383881363344}",20,14,9.333518516054232,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
941,False,"{'a': 0.5, 'e': 0.05917577729719254}",30,22,15.030326776359932,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
942,False,"{'a': 0.5, 'e': 0.05899824996530096}",20,0,19.988150911321448,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
943,False,"{'a': 0.5, 'e': 0.05882125521540506}",25,7,30.200139468831665,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
944,False,"{'a': 0.5, 'e': 0.05864479144975884}",25,16,14.056418833647403,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
945,False,"{'a': 0.5, 'e': 0.05846885707540957}",25,12,23.010086970688747,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
946,False,"{'a': 0.5, 'e': 0.05829345050418334}",20,4,24.906473419329068,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
947,False,"{'a': 0.5, 'e': 0.05811857015267079}",20,16,8.159822078259538,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
948,False,"{'a': 0.5, 'e': 0.057944214442212774}",30,24,10.136117465562597,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
949,False,"{'a': 0.5, 'e': 0.05777038179888613}",25,15,15.660119675940933,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
950,False,"{'a': 0.5, 'e': 0.05759707065348948}",25,13,18.629585226126142,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
951,False,"{'a': 0.5, 'e': 0.05742427944152901}",20,3,28.154394054842868,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
952,False,"{'a': 0.5, 'e': 0.057252006603204425}",20,2,27.971052539519267,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
953,False,"{'a': 0.5, 'e': 0.05708025058339481}",20,13,-41.36823049842448,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
954,False,"{'a': 0.5, 'e': 0.056909009831644625}",25,12,10.365137133543458,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
955,False,"{'a': 0.5, 'e': 0.05673828280214969}",20,6,4.639463311308786,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
956,False,"{'a': 0.5, 'e': 0.05656806795374324}",20,14,10.478409622541186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
957,False,"{'a': 0.5, 'e': 0.056398363749882004}",20,13,-18.14794974233972,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
958,False,"{'a': 0.5, 'e': 0.05622916865863236}",20,8,22.430205764659608,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
959,False,"{'a': 0.5, 'e': 0.056060481152656466}",25,14,20.831309166843248,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
960,False,"{'a': 0.5, 'e': 0.0558922997091985}",35,23,22.078466923274387,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.5, 'e': 0.0557246228100709}",20,8,6.842384181382519,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
962,False,"{'a': 0.5, 'e': 0.055557448941640684}",35,13,29.972150670543577,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
963,False,"{'a': 0.5, 'e': 0.05539077659481576}",25,16,16.224360079080466,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.5, 'e': 0.05522460426503131}",20,16,6.273519991456778,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
965,False,"{'a': 0.5, 'e': 0.05505893045223622}",20,5,14.158695067798805,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
966,False,"{'a': 0.5, 'e': 0.054893753660879514}",20,12,0.3289885835109092,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
967,False,"{'a': 0.5, 'e': 0.054729072399896876}",20,8,18.97534814075346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.5, 'e': 0.054564885182697184}",30,19,20.344181633951177,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
969,False,"{'a': 0.5, 'e': 0.05440119052714909}",20,16,8.64613486512148,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
970,False,"{'a': 0.5, 'e': 0.05423798695556764}",25,13,23.268153287081063,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
971,False,"{'a': 0.5, 'e': 0.05407527299470094}",25,0,36.835491901175466,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
972,False,"{'a': 0.5, 'e': 0.053913047175716836}",25,14,14.61446134398799,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
973,False,"{'a': 0.5, 'e': 0.05375130803418968}",25,9,24.635949634062516,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.5, 'e': 0.05359005411008711}",25,18,12.978976673997089,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
975,False,"{'a': 0.5, 'e': 0.053429283947756846}",20,11,16.298625858042247,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.5, 'e': 0.053268996095913575}",20,3,21.576836605677478,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
977,False,"{'a': 0.5, 'e': 0.05310918910762583}",25,11,27.584406716193662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
978,False,"{'a': 0.5, 'e': 0.052949861540302956}",35,17,35.33388742377723,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
